county,median_household_income
"Kit Carson County, Colorado",59810.0
"Lake County, Colorado",93655.0
"La Plata County, Colorado",85296.0
"Larimer County, Colorado",91364.0
"Las Animas County, Colorado",50408.0
"Lincoln County, Colorado",54257.0
"Logan County, Colorado",55074.0
"Mesa County, Colorado",71485.0
"Mineral County, Colorado",52455.0
"Moffat County, Colorado",70975.0
"Montezuma County, Colorado",63005.0
"Montrose County, Colorado",66072.0
"Morgan County, Colorado",75407.0
"Otero County, Colorado",54897.0
"Ouray County, Colorado",84556.0
"Park County, Colorado",95450.0
"Phillips County, Colorado",60372.0
"Pitkin County, Colorado",100318.0
"Prowers County, Colorado",57601.0
"Pueblo County, Colorado",62250.0
"Rio Blanco County, Colorado",72620.0
"Rio Grande County, Colorado",62166.0
"Routt County, Colorado",104803.0
"Saguache County, Colorado",54283.0
"San Juan County, Colorado",73889.0
"San Miguel County, Colorado",80117.0
"Sedgwick County, Colorado",52833.0
"Summit County, Colorado",106255.0
"Teller County, Colorado",80666.0
"Washington County, Colorado",65164.0
"Weld County, Colorado",93287.0
"Yuma County, Colorado",60051.0
"Capitol Planning Region, Connecticut",91541.0
"Greater Bridgeport Planning Region, Connecticut",87135.0
"Lower Connecticut River Valley Planning Region, Connecticut",101117.0
"Naugatuck Valley Planning Region, Connecticut",86365.0
"Northeastern Connecticut Planning Region, Connecticut",87564.0
"Northwest Hills Planning Region, Connecticut",91035.0
"South Central Connecticut Planning Region, Connecticut",86266.0
"Southeastern Connecticut Planning Region, Connecticut",84185.0
"Western Connecticut Planning Region, Connecticut",124553.0
"Kent County, Delaware",72872.0
"New Castle County, Delaware",89901.0
"Sussex County, Delaware",78162.0
"District of Columbia, District of Columbia",106287.0
"Alachua County, Florida",59659.0
"Baker County, Florida",70833.0
"Bay County, Florida",70188.0
"Bradford County, Florida",59740.0
"Brevard County, Florida",75817.0
"Broward County, Florida",74534.0
"Calhoun County, Florida",46901.0
"Charlotte County, Florida",66154.0
"Citrus County, Florida",55355.0
"Clay County, Florida",86094.0
"Collier County, Florida",86173.0
"Columbia County, Florida",55070.0
"DeSoto County, Florida",50868.0
"Dixie County, Florida",47655.0
"Duval County, Florida",68447.0
"Escambia County, Florida",65715.0
"Flagler County, Florida",72923.0
"Franklin County, Florida",62734.0
"Gadsden County, Florida",46047.0
"Gilchrist County, Florida",61070.0
"Glades County, Florida",38905.0
"Gulf County, Florida",67361.0
"Hamilton County, Florida",47696.0
"Hardee County, Florida",54231.0
"Hendry County, Florida",53044.0
"Hernando County, Florida",63193.0
"Highlands County, Florida",55581.0
"Hillsborough County, Florida",75011.0
"Holmes County, Florida",48236.0
"Indian River County, Florida",71049.0
"Jackson County, Florida",47327.0
"Jefferson County, Florida",56984.0
"Lafayette County, Florida",60692.0
"Lake County, Florida",69956.0
"Lee County, Florida",73099.0
"Leon County, Florida",65074.0
"Levy County, Florida",53805.0
"Liberty County, Florida",53824.0
"Madison County, Florida",48176.0
"Manatee County, Florida",75792.0
"Marion County, Florida",58535.0
"Martin County, Florida",80701.0
"Miami-Dade County, Florida",68694.0
"Monroe County, Florida",82430.0
"Nassau County, Florida",88900.0
"Okaloosa County, Florida",79097.0
"Okeechobee County, Florida",52288.0
"Orange County, Florida",77011.0
"Osceola County, Florida",68711.0
"Palm Beach County, Florida",81115.0
"Pasco County, Florida",67384.0
"Pinellas County, Florida",70293.0
"Polk County, Florida",63644.0
"Putnam County, Florida",47256.0
"St. Johns County, Florida",106169.0
"St. Lucie County, Florida",69027.0
"Santa Rosa County, Florida",88968.0
"Sarasota County, Florida",80633.0
"Seminole County, Florida",83030.0
"Sumter County, Florida",73297.0
"Suwannee County, Florida",55479.0
"Taylor County, Florida",44985.0
"Union County, Florida",64922.0
"Volusia County, Florida",66581.0
"Wakulla County, Florida",74183.0
"Walton County, Florida",79281.0
"Washington County, Florida",52723.0
"Appling County, Georgia",43728.0
"Atkinson County, Georgia",38438.0
"Bacon County, Georgia",50310.0
"Baker County, Georgia",44405.0
"Baldwin County, Georgia",55413.0
"Banks County, Georgia",68830.0
"Barrow County, Georgia",77477.0
"Bartow County, Georgia",79431.0
"Ben Hill County, Georgia",39081.0
"Berrien County, Georgia",50414.0
"Bibb County, Georgia",50747.0
"Bleckley County, Georgia",53005.0
"Brantley County, Georgia",47801.0
"Brooks County, Georgia",47656.0
"Bryan County, Georgia",94234.0
"Bulloch County, Georgia",56832.0
"Burke County, Georgia",50739.0
"Butts County, Georgia",59221.0
"Calhoun County, Georgia",55714.0
"Camden County, Georgia",72399.0
"Candler County, Georgia",50431.0
"Carroll County, Georgia",72327.0
"Catoosa County, Georgia",72425.0
"Charlton County, Georgia",48534.0
"Chatham County, Georgia",69575.0
"Chattahoochee County, Georgia",59221.0
"Chattooga County, Georgia",47785.0
"Cherokee County, Georgia",105442.0
"Clarke County, Georgia",52267.0
"Clay County, Georgia",48715.0
"Clayton County, Georgia",58507.0
"Clinch County, Georgia",55549.0
"Cobb County, Georgia",98712.0
"Coffee County, Georgia",50175.0
"Colquitt County, Georgia",49691.0
"Columbia County, Georgia",96122.0
"Cook County, Georgia",50133.0
"Coweta County, Georgia",94142.0
"Crawford County, Georgia",60905.0
"Crisp County, Georgia",42745.0
"Dade County, Georgia",58936.0
"Dawson County, Georgia",88986.0
"Decatur County, Georgia",50485.0
"DeKalb County, Georgia",77683.0
"Dodge County, Georgia",50152.0
"Dooly County, Georgia",56545.0
"Dougherty County, Georgia",46784.0
"Douglas County, Georgia",80764.0
"Early County, Georgia",53750.0
"Echols County, Georgia",61723.0
"Effingham County, Georgia",85465.0
"Elbert County, Georgia",49727.0
"Emanuel County, Georgia",50053.0
"Evans County, Georgia",53908.0
"Fannin County, Georgia",58073.0
"Fayette County, Georgia",108986.0
"Floyd County, Georgia",62540.0
"Forsyth County, Georgia",138000.0
"Franklin County, Georgia",52264.0
"Fulton County, Georgia",91490.0
"Gilmer County, Georgia",72542.0
"Glascock County, Georgia",55250.0
"Glynn County, Georgia",68546.0
"Gordon County, Georgia",61997.0
"Grady County, Georgia",54312.0
"Greene County, Georgia",84530.0
"Gwinnett County, Georgia",84823.0
"Habersham County, Georgia",65622.0
"Hall County, Georgia",77430.0
"Hancock County, Georgia",33182.0
"Haralson County, Georgia",65016.0
"Harris County, Georgia",89184.0
"Hart County, Georgia",57241.0
"Heard County, Georgia",62907.0
"Henry County, Georgia",81612.0
"Houston County, Georgia",80743.0
"Irwin County, Georgia",53915.0
"Jackson County, Georgia",85012.0
"Jasper County, Georgia",59574.0
"Jeff Davis County, Georgia",40879.0
"Jefferson County, Georgia",46561.0
"Jenkins County, Georgia",36906.0
"Johnson County, Georgia",54183.0
"Jones County, Georgia",68259.0
"Lamar County, Georgia",68457.0
"Lanier County, Georgia",44361.0
"Laurens County, Georgia",49705.0
"Lee County, Georgia",88024.0
"Liberty County, Georgia",59013.0
"Lincoln County, Georgia",50688.0
"Long County, Georgia",64747.0
"Lowndes County, Georgia",55887.0
"Lumpkin County, Georgia",72388.0
"McDuffie County, Georgia",54058.0
"McIntosh County, Georgia",50348.0
"Macon County, Georgia",37177.0
"Madison County, Georgia",58784.0
"Marion County, Georgia",50484.0
"Meriwether County, Georgia",56458.0
"Miller County, Georgia",58407.0
"Mitchell County, Georgia",51908.0
"Monroe County, Georgia",82863.0
"Montgomery County, Georgia",51188.0
"Morgan County, Georgia",85692.0
"Murray County, Georgia",67880.0
"Muscogee County, Georgia",56622.0
"Newton County, Georgia",73732.0
"Oconee County, Georgia",115925.0
"Oglethorpe County, Georgia",69784.0
"Paulding County, Georgia",94557.0
"Peach County, Georgia",68365.0
"Pickens County, Georgia",75293.0
"Pierce County, Georgia",56691.0
"Pike County, Georgia",84184.0
"Polk County, Georgia",55308.0
"Pulaski County, Georgia",47688.0
"Putnam County, Georgia",64163.0
"Quitman County, Georgia",36838.0
"Rabun County, Georgia",61466.0
"Randolph County, Georgia",25425.0
"Richmond County, Georgia",53197.0
"Rockdale County, Georgia",72349.0
"Schley County, Georgia",59647.0
"Screven County, Georgia",53017.0
"Seminole County, Georgia",49559.0
"Spalding County, Georgia",60217.0
"Stephens County, Georgia",52264.0
"Stewart County, Georgia",35000.0
"Sumter County, Georgia",41877.0
"Talbot County, Georgia",45098.0
"Taliaferro County, Georgia",48036.0
"Tattnall County, Georgia",52351.0
"Taylor County, Georgia",41743.0
"Telfair County, Georgia",44948.0
"Terrell County, Georgia",43812.0
"Thomas County, Georgia",60140.0
"Tift County, Georgia",53165.0
"Toombs County, Georgia",54130.0
"Towns County, Georgia",58400.0
"Treutlen County, Georgia",43750.0
"Troup County, Georgia",54905.0
"Turner County, Georgia",39565.0
"Twiggs County, Georgia",55439.0
"Union County, Georgia",65697.0
"Upson County, Georgia",50904.0
"Walker County, Georgia",55887.0
"Walton County, Georgia",82381.0
"Ware County, Georgia",44833.0
"Warren County, Georgia",46776.0
"Washington County, Georgia",44009.0
"Wayne County, Georgia",49562.0
"Webster County, Georgia",40764.0
"Wheeler County, Georgia",45262.0
"White County, Georgia",69747.0
"Whitfield County, Georgia",64262.0
"Wilcox County, Georgia",48036.0
"Wilkes County, Georgia",52542.0
"Wilkinson County, Georgia",46673.0
"Worth County, Georgia",57201.0
"Hawaii County, Hawaii",77215.0
"Honolulu County, Hawaii",104264.0
"Kalawao County, Hawaii",86250.0
"Kauai County, Hawaii",93612.0
"Maui County, Hawaii",95076.0
"Ada County, Idaho",88907.0
"Adams County, Idaho",59286.0
"Bannock County, Idaho",64080.0
"Bear Lake County, Idaho",67304.0
"Benewah County, Idaho",56553.0
"Bingham County, Idaho",76842.0
"Blaine County, Idaho",84470.0
"Boise County, Idaho",77349.0
"Bonner County, Idaho",65168.0
"Bonneville County, Idaho",76646.0
"Boundary County, Idaho",62438.0
"Butte County, Idaho",43281.0
"Camas County, Idaho",55536.0
"Canyon County, Idaho",72355.0
"Caribou County, Idaho",66653.0
"Cassia County, Idaho",67042.0
"Clark County, Idaho",52083.0
"Clearwater County, Idaho",57961.0
"Custer County, Idaho",56957.0
"Elmore County, Idaho",58976.0
"Franklin County, Idaho",65991.0
"Fremont County, Idaho",72767.0
"Gem County, Idaho",66245.0
"Gooding County, Idaho",62395.0
"Idaho County, Idaho",60975.0
"Jefferson County, Idaho",82952.0
"Jerome County, Idaho",69338.0
"Kootenai County, Idaho",77034.0
"Latah County, Idaho",65179.0
"Lemhi County, Idaho",52057.0
"Lewis County, Idaho",49643.0
"Lincoln County, Idaho",66038.0
"Madison County, Idaho",58259.0
"Minidoka County, Idaho",70060.0
"Nez Perce County, Idaho",71466.0
"Oneida County, Idaho",72563.0
"Owyhee County, Idaho",59773.0
"Payette County, Idaho",65723.0
"Power County, Idaho",59760.0
"Shoshone County, Idaho",49975.0
"Teton County, Idaho",90740.0
"Twin Falls County, Idaho",65338.0
"Valley County, Idaho",76125.0
"Washington County, Idaho",53608.0
"Adams County, Illinois",64962.0
"Alexander County, Illinois",43523.0
"Bond County, Illinois",61603.0
"Boone County, Illinois",81638.0
"Brown County, Illinois",72288.0
"Bureau County, Illinois",65894.0
"Calhoun County, Illinois",92095.0
"Carroll County, Illinois",60871.0
"Cass County, Illinois",64907.0
"Champaign County, Illinois",63091.0
"Christian County, Illinois",59253.0
"Clark County, Illinois",70625.0
"Clay County, Illinois",57266.0
"Clinton County, Illinois",82314.0
"Coles County, Illinois",56040.0
"Cook County, Illinois",81797.0
"Crawford County, Illinois",67614.0
"Cumberland County, Illinois",69826.0
"DeKalb County, Illinois",69022.0
"De Witt County, Illinois",64802.0
"Douglas County, Illinois",74186.0
"DuPage County, Illinois",110502.0
"Edgar County, Illinois",56909.0
"Edwards County, Illinois",59386.0
"Effingham County, Illinois",75380.0
"Fayette County, Illinois",57113.0
"Ford County, Illinois",60782.0
"Franklin County, Illinois",53471.0
"Fulton County, Illinois",58617.0
"Gallatin County, Illinois",54626.0
"Greene County, Illinois",60976.0
"Grundy County, Illinois",93060.0
"Hamilton County, Illinois",61520.0
"Hancock County, Illinois",65044.0
"Hardin County, Illinois",57155.0
"Henderson County, Illinois",65651.0
"Henry County, Illinois",69912.0
"Iroquois County, Illinois",62439.0
"Jackson County, Illinois",45572.0
"Jasper County, Illinois",71094.0
"Jefferson County, Illinois",61102.0
"Jersey County, Illinois",79104.0
"Jo Daviess County, Illinois",74954.0
"Johnson County, Illinois",65203.0
"Kane County, Illinois",100678.0
"Kankakee County, Illinois",68325.0
"Kendall County, Illinois",110474.0
"Knox County, Illinois",53291.0
"Lake County, Illinois",108917.0
"LaSalle County, Illinois",72281.0
"Lawrence County, Illinois",53438.0
"Lee County, Illinois",68459.0
"Livingston County, Illinois",70796.0
"Logan County, Illinois",64188.0
"McDonough County, Illinois",50434.0
"McHenry County, Illinois",102836.0
"McLean County, Illinois",78329.0
"Macon County, Illinois",62449.0
"Macoupin County, Illinois",68518.0
"Madison County, Illinois",74800.0
"Marion County, Illinois",60839.0
"Marshall County, Illinois",69818.0
"Mason County, Illinois",62127.0
"Massac County, Illinois",62584.0
"Menard County, Illinois",81334.0
"Mercer County, Illinois",71710.0
"Monroe County, Illinois",101635.0
"Montgomery County, Illinois",61863.0
