"GEO_ID","NAME","B19013_001M","B19013_001E",
"Geography","Geographic Area Name","Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)",
"0500000US05077","Lee County, Arkansas","5594","30494",
"0500000US05079","Lincoln County, Arkansas","4429","35737",
"0500000US05081","Little River County, Arkansas","2728","33416",
"0500000US05083","Logan County, Arkansas","2612","37551",
"0500000US05085","Lonoke County, Arkansas","1762","50757",
"0500000US05087","Madison County, Arkansas","3838","36502",
"0500000US05089","Marion County, Arkansas","2862","34109",
"0500000US05091","Miller County, Arkansas","1961","40307",
"0500000US05093","Mississippi County, Arkansas","2755","33407",
"0500000US05095","Monroe County, Arkansas","3414","29964",
"0500000US05097","Montgomery County, Arkansas","3720","35705",
"0500000US05099","Nevada County, Arkansas","6215","38375",
"0500000US05101","Newton County, Arkansas","3825","27441",
"0500000US05103","Ouachita County, Arkansas","2479","31259",
"0500000US05105","Perry County, Arkansas","3483","43635",
"0500000US05107","Phillips County, Arkansas","1683","27361",
"0500000US05109","Pike County, Arkansas","4259","32806",
"0500000US05111","Poinsett County, Arkansas","1581","32267",
"0500000US05113","Polk County, Arkansas","2196","32525",
"0500000US05115","Pope County, Arkansas","1475","39841",
"0500000US05117","Prairie County, Arkansas","2660","35346",
"0500000US05119","Pulaski County, Arkansas","783","45121",
"0500000US05121","Randolph County, Arkansas","3828","30222",
"0500000US05123","St. Francis County, Arkansas","2493","27019",
"0500000US05125","Saline County, Arkansas","1235","51502",
"0500000US05127","Scott County, Arkansas","3310","36417",
"0500000US05129","Searcy County, Arkansas","2663","28811",
"0500000US05131","Sebastian County, Arkansas","1078","39482",
"0500000US05133","Sevier County, Arkansas","2954","34383",
"0500000US05135","Sharp County, Arkansas","2373","31135",
"0500000US05137","Stone County, Arkansas","4411","30380",
"0500000US05139","Union County, Arkansas","2779","36464",
"0500000US05141","Van Buren County, Arkansas","2566","31960",
"0500000US05143","Washington County, Arkansas","1076","42303",
"0500000US05145","White County, Arkansas","1858","39178",
"0500000US05147","Woodruff County, Arkansas","2171","27186",
"0500000US05149","Yell County, Arkansas","2991","36606",
"0500000US06001","Alameda County, California","876","69384",
"0500000US06003","Alpine County, California","16309","63478",
"0500000US06005","Amador County, California","3340","54758",
"0500000US06007","Butte County, California","982","43170",
"0500000US06009","Calaveras County, California","4905","54971",
"0500000US06011","Colusa County, California","4404","48016",
"0500000US06013","Contra Costa County, California","859","78385",
"0500000US06015","Del Norte County, California","4870","36118",
