"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)",
"0500000US05131","Sebastian County, Arkansas","40932","1755",
"0500000US05133","Sevier County, Arkansas","43675","2792",
"0500000US05135","Sharp County, Arkansas","31792","1931",
"0500000US05137","Stone County, Arkansas","33091","4191",
"0500000US05139","Union County, Arkansas","41106","2148",
"0500000US05141","Van Buren County, Arkansas","34428","2409",
"0500000US05143","Washington County, Arkansas","47452","1026",
"0500000US05145","White County, Arkansas","44074","3056",
"0500000US05147","Woodruff County, Arkansas","30097","3976",
"0500000US05149","Yell County, Arkansas","39696","2480",
"0500000US06001","Alameda County, California","85743","940",
"0500000US06003","Alpine County, California","63438","4535",
"0500000US06005","Amador County, California","60636","2765",
"0500000US06007","Butte County, California","46516","1130",
"0500000US06009","Calaveras County, California","54800","3529",
"0500000US06011","Colusa County, California","56481","4858",
"0500000US06013","Contra Costa County, California","88456","822",
"0500000US06015","Del Norte County, California","41287","4114",
"0500000US06017","El Dorado County, California","74885","2565",
"0500000US06019","Fresno County, California","48730","655",
"0500000US06021","Glenn County, California","46260","3402",
"0500000US06023","Humboldt County, California","43718","1579",
"0500000US06025","Imperial County, California","44779","1850",
"0500000US06027","Inyo County, California","51500","4578",
"0500000US06029","Kern County, California","50826","771",
"0500000US06031","Kings County, California","49742","1744",
"0500000US06033","Lake County, California","40446","2857",
"0500000US06035","Lassen County, California","54083","2927",
"0500000US06037","Los Angeles County, California","61015","262",
"0500000US06039","Madera County, California","48210","2108",
"0500000US06041","Marin County, California","104703","1763",
"0500000US06043","Mariposa County, California","51385","3637",
"0500000US06045","Mendocino County, California","46528","1787",
"0500000US06047","Merced County, California","46338","1301",
"0500000US06049","Modoc County, California","39296","4907",
"0500000US06051","Mono County, California","60595","6356",
"0500000US06053","Monterey County, California","63249","1209",
"0500000US06055","Napa County, California","79637","1895",
"0500000US06057","Nevada County, California","60610","2262",
"0500000US06059","Orange County, California","81851","570",
"0500000US06061","Placer County, California","80488","1431",
"0500000US06063","Plumas County, California","50266","3476",
"0500000US06065","Riverside County, California","60807","429",
"0500000US06067","Sacramento County, California","60239","475",
"0500000US06069","San Benito County, California","80760","3889",
"0500000US06071","San Bernardino County, California","57156","594",
"0500000US06073","San Diego County, California","70588","617",
"0500000US06075","San Francisco County, California","96265","1349",
"0500000US06077","San Joaquin County, California","57813","863",
"0500000US06079","San Luis Obispo County, California","67175","1720",
"0500000US06081","San Mateo County, California","105667","1195",
"0500000US06083","Santa Barbara County, California","68023","1420",
"0500000US06085","Santa Clara County, California","106761","858",
"0500000US06087","Santa Cruz County, California","73663","1682",
"0500000US06089","Shasta County, California","47258","1104",
"0500000US06091","Sierra County, California","44190","9650",
"0500000US06093","Siskiyou County, California","40884","1957",
"0500000US06095","Solano County, California","72950","1244",
"0500000US06097","Sonoma County, California","71769","1046",
"0500000US06099","Stanislaus County, California","54260","976",
"0500000US06101","Sutter County, California","54347","2000",
"0500000US06103","Tehama County, California","42512","2803",
"0500000US06105","Trinity County, California","36563","5946",
"0500000US06107","Tulare County, California","44871","1286",
"0500000US06109","Tuolumne County, California","54325","2700",
"0500000US06111","Ventura County, California","81972","983",
"0500000US06113","Yolo County, California","61621","1733",
"0500000US06115","Yuba County, California","51776","2375",
"0500000US08001","Adams County, Colorado","64087","991",
"0500000US08003","Alamosa County, Colorado","36315","4688",
"0500000US08005","Arapahoe County, Colorado","69553","846",
"0500000US08007","Archuleta County, Colorado","48016","5197",
"0500000US08009","Baca County, Colorado","35898","2615",
"0500000US08011","Bent County, Colorado","32500","3442",
"0500000US08013","Boulder County, Colorado","75669","1234",
"0500000US08014","Broomfield County, Colorado","85639","2394",
"0500000US08015","Chaffee County, Colorado","53762","2655",
"0500000US08017","Cheyenne County, Colorado","54907","5772",
"0500000US08019","Clear Creek County, Colorado","68534","4776",
"0500000US08021","Conejos County, Colorado","35657","3150",
"0500000US08023","Costilla County, Colorado","29000","4573",
"0500000US08025","Crowley County, Colorado","35292","6589",
"0500000US08027","Custer County, Colorado","41330","3601",
"0500000US08029","Delta County, Colorado","42487","4104",
"0500000US08031","Denver County, Colorado","60098","950",
"0500000US08033","Dolores County, Colorado","40352","7713",
"0500000US08035","Douglas County, Colorado","111154","1484",
"0500000US08037","Eagle County, Colorado","83803","4624",
"0500000US08039","Elbert County, Colorado","92849","4456",
"0500000US08041","El Paso County, Colorado","62535","844",
"0500000US08043","Fremont County, Colorado","44712","1951",
"0500000US08045","Garfield County, Colorado","66503","2244",
"0500000US08047","Gilpin County, Colorado","72544","5648",
"0500000US08049","Grand County, Colorado","66489","6712",
"0500000US08051","Gunnison County, Colorado","52651","4811",
"0500000US08053","Hinsdale County, Colorado","53056","13171",
"0500000US08055","Huerfano County, Colorado","35801","2554",
"0500000US08057","Jackson County, Colorado","45994","4071",
"0500000US08059","Jefferson County, Colorado","75170","854",
"0500000US08061","Kiowa County, Colorado","39250","3911",
"0500000US08063","Kit Carson County, Colorado","45881","4121",
"0500000US08065","Lake County, Colorado","46176","6432",
"0500000US08067","La Plata County, Colorado","62533","2438",
"0500000US08069","Larimer County, Colorado","64980","1414",
"0500000US08071","Las Animas County, Colorado","40586","4510",
"0500000US08073","Lincoln County, Colorado","44725","3719",
"0500000US08075","Logan County, Colorado","44876","5064",
"0500000US08077","Mesa County, Colorado","51971","1350",
"0500000US08079","Mineral County, Colorado","50385","6570",
"0500000US08081","Moffat County, Colorado","53010","4266",
"0500000US08083","Montezuma County, Colorado","45645","3355",
"0500000US08085","Montrose County, Colorado","44865","2428",
"0500000US08087","Morgan County, Colorado","51456","1911",
"0500000US08089","Otero County, Colorado","35051","2700",
"0500000US08091","Ouray County, Colorado","61333","5822",
"0500000US08093","Park County, Colorado","61644","5623",
"0500000US08095","Phillips County, Colorado","50076","8749",
"0500000US08097","Pitkin County, Colorado","67755","7367",
"0500000US08099","Prowers County, Colorado","41740","2550",
"0500000US08101","Pueblo County, Colorado","42386","1201",
"0500000US08103","Rio Blanco County, Colorado","57991","8135",
"0500000US08105","Rio Grande County, Colorado","38534","3781",
"0500000US08107","Routt County, Colorado","67472","4036",
"0500000US08109","Saguache County, Colorado","34765","4061",
"0500000US08111","San Juan County, Colorado","46397","6858",
"0500000US08113","San Miguel County, Colorado","62243","4055",
"0500000US08115","Sedgwick County, Colorado","49583","4753",
"0500000US08117","Summit County, Colorado","73538","3671",
"0500000US08119","Teller County, Colorado","66809","3624",
"0500000US08121","Washington County, Colorado","51458","5812",
"0500000US08123","Weld County, Colorado","66489","1582",
"0500000US08125","Yuma County, Colorado","44668","2373",
"0500000US09001","Fairfield County, Connecticut","89773","1202",
"0500000US09003","Hartford County, Connecticut","69936","847",
"0500000US09005","Litchfield County, Connecticut","76438","1577",
"0500000US09007","Middlesex County, Connecticut","81673","1923",
"0500000US09009","New Haven County, Connecticut","64872","827",
"0500000US09011","New London County, Connecticut","69411","1516",
"0500000US09013","Tolland County, Connecticut","81312","1632",
"0500000US09015","Windham County, Connecticut","62553","1889",
"0500000US10001","Kent County, Delaware","57647","1456",
"0500000US10003","New Castle County, Delaware","68336","1106",
"0500000US10005","Sussex County, Delaware","57901","1291",
"0500000US11001","District of Columbia, District of Columbia","77649","1075",
"0500000US12001","Alachua County, Florida","45478","1546",
"0500000US12003","Baker County, Florida","59506","4489",
"0500000US12005","Bay County, Florida","50283","1571",
"0500000US12007","Bradford County, Florida","46106","5357",
"0500000US12009","Brevard County, Florida","51536","616",
"0500000US12011","Broward County, Florida","54895","644",
"0500000US12013","Calhoun County, Florida","36237","2312",
"0500000US12015","Charlotte County, Florida","46511","1143",
"0500000US12017","Citrus County, Florida","40574","1147",
"0500000US12019","Clay County, Florida","61971","1829",
"0500000US12021","Collier County, Florida","62407","1257",
"0500000US12023","Columbia County, Florida","43504","2151",
"0500000US12027","DeSoto County, Florida","35435","1717",
"0500000US12029","Dixie County, Florida","35910","3084",
"0500000US12031","Duval County, Florida","51296","541",
"0500000US12033","Escambia County, Florida","47361","949",
"0500000US12035","Flagler County, Florida","51049","1256",
"0500000US12037","Franklin County, Florida","41267","3706",
"0500000US12039","Gadsden County, Florida","39830","2043",
"0500000US12041","Gilchrist County, Florida","42934","3874",
"0500000US12043","Glades County, Florida","37385","4329",
"0500000US12045","Gulf County, Florida","44647","3144",
"0500000US12047","Hamilton County, Florida","36209","4821",
"0500000US12049","Hardee County, Florida","39063","3047",
"0500000US12051","Hendry County, Florida","37966","2224",
"0500000US12053","Hernando County, Florida","44324","1044",
"0500000US12055","Highlands County, Florida","36374","1135",
"0500000US12057","Hillsborough County, Florida","53742","533",
"0500000US12059","Holmes County, Florida","37474","4051",
"0500000US12061","Indian River County, Florida","49009","1267",
"0500000US12063","Jackson County, Florida","36944","1427",
"0500000US12065","Jefferson County, Florida","47599","6872",
"0500000US12067","Lafayette County, Florida","41512","9747",
"0500000US12069","Lake County, Florida","49734","1173",
"0500000US12071","Lee County, Florida","52052","572",
"0500000US12073","Leon County, Florida","49941","922",
"0500000US12075","Levy County, Florida","36554","1796",
"0500000US12077","Liberty County, Florida","36741","3554",
"0500000US12079","Madison County, Florida","31816","2625",
"0500000US12081","Manatee County, Florida","53408","1088",
"0500000US12083","Marion County, Florida","41964","878",
